epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,714.291,0.80662,0.46529,0.75742,1.03405,0,0.91551,0.7,0.73448,0.60108,0.91551,0.7,0.73448,0.51335,0.81117,0.6669,0.77581,1.07369,0,0.0010802,0.0010802,0.0010802
30,738.82,0.85034,0.50066,0.79874,1.05234,0,0.5935,0.7504,0.727,0.58714,0.5935,0.7504,0.727,0.51619,0.81041,0.65046,0.87378,1.04328,0,0.0010791,0.0010791,0.0010791
31,763.302,0.8599,0.52073,0.81839,1.08651,0,0.59936,0.99623,0.83503,0.64017,0.59936,0.99623,0.83503,0.57197,0.78929,0.65857,0.83795,1.08647,0,0.001078,0.001078,0.001078
32,787.889,0.80203,0.4434,0.82685,1.04627,0,0.60848,0.65431,0.70844,0.5483,0.60848,0.65431,0.70844,0.4831,0.93835,0.62178,0.74104,1.11209,0,0.0010769,0.0010769,0.0010769
33,812.375,0.82536,0.43592,0.84725,1.0651,0,0.87614,0.73328,0.72901,0.61218,0.87614,0.73328,0.72901,0.52441,0.86502,0.66926,0.97855,1.09586,0,0.0010758,0.0010758,0.0010758
34,836.874,0.84708,0.49672,0.80255,1.04983,0,0.66664,0.88,0.86271,0.67168,0.66664,0.88,0.86271,0.58331,0.86081,0.68766,0.84418,1.08816,0,0.0010747,0.0010747,0.0010747
35,861.356,0.79839,0.48816,0.79222,1.05281,0,0.81555,0.94,0.94602,0.74196,0.81555,0.94,0.94602,0.66091,0.79286,0.61911,0.68931,1.04781,0,0.0010736,0.0010736,0.0010736
36,886.089,0.82105,0.45809,0.77514,1.04328,0,0.82976,0.78,0.9404,0.66668,0.82976,0.78,0.9404,0.60444,0.80146,0.65971,0.6964,1.06601,0,0.0010725,0.0010725,0.0010725
37,910.573,0.80111,0.47515,0.74045,1.03101,0,0.73199,0.91612,0.89713,0.69402,0.7227,0.91813,0.90632,0.60851,0.8191,0.6375,0.78125,1.07398,0,0.0010714,0.0010714,0.0010714
38,935.139,0.83251,0.51884,0.76413,1.07055,0,0.90586,0.70522,0.80463,0.64701,0.90586,0.70522,0.80463,0.57386,0.77913,0.64627,0.78656,1.05493,0,0.0010703,0.0010703,0.0010703
39,959.644,0.75761,0.46607,0.69941,1.00773,0,0.82209,0.76446,0.76349,0.63825,0.82209,0.76446,0.76349,0.5435,0.75777,0.66415,0.69248,1.03201,0,0.0010692,0.0010692,0.0010692
40,984.151,0.79511,0.47917,0.72921,1.02779,0,0.89461,0.76,0.81933,0.65608,0.89461,0.76,0.81933,0.57402,0.74834,0.63641,0.73811,1.05398,0,0.0010681,0.0010681,0.0010681
41,1008.65,0.76573,0.47542,0.74364,1.03358,0,0.89037,0.71167,0.92591,0.65316,0.89037,0.71167,0.92591,0.55589,0.71282,0.63077,0.69574,1.02831,0,0.001067,0.001067,0.001067
42,1033.16,0.75433,0.53836,0.73528,1.02145,0,0.63812,1,0.95306,0.75101,0.63812,1,0.95306,0.68381,0.79518,0.60729,0.67408,1.0535,0,0.0010659,0.0010659,0.0010659
43,1057.95,0.75348,0.4921,0.72564,1.02752,0,0.65992,0.75613,0.76756,0.65161,0.65992,0.75613,0.76756,0.58446,0.74282,0.65435,0.77591,1.04592,0,0.0010648,0.0010648,0.0010648
44,1082.46,0.76187,0.45921,0.7187,1.02019,0,0.77679,0.76812,0.77684,0.63144,0.77679,0.76812,0.77684,0.58284,0.78433,0.66324,0.69028,1.08578,0,0.0010637,0.0010637,0.0010637
45,1106.97,0.75358,0.46754,0.6963,1.02412,0,0.74011,1,0.94481,0.70857,0.74011,1,0.94481,0.63949,0.77035,0.63864,0.66264,1.05811,0,0.0010626,0.0010626,0.0010626
46,1131.48,0.75713,0.48634,0.67609,1.01987,0,0.85099,0.94531,0.97161,0.72105,0.85099,0.94531,0.97161,0.6074,0.81793,0.66523,0.67849,1.10728,0,0.0010615,0.0010615,0.0010615
47,1155.99,0.74391,0.4712,0.70618,1.02904,0,0.89802,0.73617,0.76315,0.61708,0.89802,0.73617,0.76315,0.54812,0.71829,0.64697,0.70887,1.0369,0,0.00106041,0.00106041,0.00106041
48,1180.59,0.74087,0.50454,0.68132,1.021,0,0.85988,0.74,0.76919,0.64292,0.85988,0.74,0.76919,0.56464,0.76993,0.67046,0.58291,1.08053,0,0.00105931,0.00105931,0.00105931
49,1205.07,0.74262,0.46995,0.73851,1.00097,0,0.90775,0.73167,0.74262,0.62278,0.90775,0.73167,0.77562,0.56599,0.75348,0.64572,0.65962,1.06862,0,0.00105821,0.00105821,0.00105821
50,1229.54,0.78254,0.47038,0.73218,1.03502,0,0.68438,0.99771,0.85689,0.63758,0.68438,0.99771,0.85689,0.56618,0.73649,0.66173,0.66424,1.05347,0,0.00105711,0.00105711,0.00105711
51,1254.04,0.76733,0.48534,0.77189,1.03167,0,0.86551,0.75119,0.80077,0.67253,0.65816,0.9,0.91593,0.60265,0.7676,0.6626,0.6435,1.04095,0,0.00105601,0.00105601,0.00105601
52,1278.55,0.70537,0.41715,0.66364,0.9923,0,0.7574,1,0.94627,0.69027,0.7574,1,0.94627,0.61499,0.76338,0.62217,0.62417,1.02734,0,0.00105491,0.00105491,0.00105491
53,1303.12,0.69796,0.44945,0.60416,0.98475,0,0.73683,1,0.95443,0.7131,0.73683,1,0.95443,0.63766,0.72787,0.65555,0.66614,1.01274,0,0.00105381,0.00105381,0.00105381
54,1327.6,0.71655,0.45911,0.68753,0.99516,0,0.88224,0.8821,0.94795,0.63914,0.88224,0.8821,0.93793,0.59858,0.78631,0.66711,0.6965,1.07163,0,0.00105271,0.00105271,0.00105271
55,1352.08,0.74479,0.4243,0.6972,1.03223,0,0.81226,0.92,0.94965,0.68229,0.81226,0.92,0.94965,0.60949,0.71727,0.64899,0.736,1.05538,0,0.00105161,0.00105161,0.00105161
56,1376.56,0.72955,0.45455,0.67951,1.00821,0,0.87998,0.63543,0.70397,0.59527,0.87998,0.63543,0.80297,0.52283,0.75249,0.65963,0.68374,1.03582,0,0.00105051,0.00105051,0.00105051
57,1401.15,0.68878,0.43798,0.65072,0.99702,0,0.91233,0.69167,0.80277,0.62016,0.91233,0.69167,0.80277,0.56885,0.82631,0.68028,0.69586,1.09402,0,0.00104941,0.00104941,0.00104941
58,1425.62,0.68127,0.44678,0.63043,0.98933,0,0.72659,0.9736,0.92644,0.63477,0.72659,0.9736,0.92644,0.58685,0.84216,0.63283,0.66157,1.10743,0,0.00104831,0.00104831,0.00104831
